insert into owner values (1, '권', '도은', ' 010-8498-1849', ' 3ngb798o@nano.com', ' female', 98);
insert into owner values (100, '송', '주윤', ' 010-9537-2953', ' y1kalysf@nano.com', ' female', 37);
insert into owner values (101, '송', '주은', ' 010-5384-8538', ' ldekykfn@nano.com', ' female', 84);
insert into owner values (102, '송', '주진', ' 010-8552-9855', ' h6natczc@nano.com', ' male', 52);
insert into owner values (103, '송', '지아', ' 010-2846-9284', ' rhyztpmz@nano.com', ' male', 46);
insert into owner values (104, '송', '지연', ' 010-3926-5392', ' s2q5kc1x@nano.com', ' female', 26);
insert into owner values (105, '송', '지우', ' 010-6328-5632', ' sdxtmnmz@nano.com', ' male', 28);
insert into owner values (106, '송', '지윤', ' 010-5376-8537', ' pe4meyfe@nano.com', ' female', 76);
insert into owner values (107, '송', '지은', ' 010-3146-8314', ' wd3ellc6@nano.com', ' female', 46);
insert into owner values (108, '송', '지준', ' 010-8314-8831', ' sgfy0krq@nano.com', ' male', 14);
insert into owner values (109, '송', '지진', ' 010-4667-1466', ' bc7yyz32@nano.com', ' female', 67);
insert into owner values (110, '송', '지호', ' 010-4915-7491', ' 1qipyq1h@nano.com', ' male', 15);
insert into owner values (111, '송', '채서', ' 010-2204-3220', ' 7v57zxwt@nano.com', ' female', 4);
insert into owner values (112, '송', '채진', ' 010-3623-0362', ' ofnuaw9c@nano.com', ' male', 23);
insert into owner values (113, '송', '하우', ' 010-4728-9472', ' zrd134ya@nano.com', ' male', 28);
insert into owner values (114, '송', '하우', ' 010-9297-1929', ' 8r0uzczg@nano.com', ' male', 97);
insert into owner values (115, '송', '하진', ' 010-4935-6493', ' mat1te13@nano.com', ' female', 35);
insert into owner values (116, '송', '하호', ' 010-2417-5241', ' 4o88gbpx@nano.com', ' male', 17);
insert into owner values (117, '송', '현서', ' 010-1537-8153', ' gqk1dk2n@nano.com', ' male', 37);
insert into owner values (118, '송', '현서', ' 010-3456-6345', ' 633ultaz@nano.com', ' female', 56);
insert into owner values (119, '송', '현서', ' 010-3353-0335', ' 096vyvme@nano.com', ' female', 53);
insert into owner values (120, '송', '현서', ' 010-3324-1332', ' kynmgrvr@nano.com', ' male', 24);
insert into owner values (121, '송', '현아', ' 010-0128-1012', ' c8eq5e72@nano.com', ' male', 28);
insert into owner values (122, '송', '현아', ' 010-4078-3407', ' utffeyu6@nano.com', ' male', 78);
insert into owner values (123, '송', '현연', ' 010-9116-8911', ' uk6plpp8@nano.com', ' male', 16);
insert into owner values (124, '송', '현윤', ' 010-3666-2366', ' 57datdm8@nano.com', ' female', 66);
insert into owner values (125, '송', '현은', ' 010-5027-0502', ' gzv1y74r@nano.com', ' male', 27);
insert into owner values (126, '송', '현은', ' 010-4395-1439', ' 5azz26l4@nano.com', ' female', 95);
insert into owner values (127, '신', '도서', ' 010-1219-0121', ' n9rqogx5@nano.com', ' female', 19);
insert into owner values (128, '신', '도연', ' 010-5162-6516', ' 5hq1c7mb@nano.com', ' female', 62);
insert into owner values (129, '신', '도우', ' 010-0175-6017', ' x545kce6@nano.com', ' male', 75);
insert into owner values (130, '신', '도윤', ' 010-4271-2427', ' aa5hott6@nano.com', ' male', 71);
insert into owner values (131, '신', '도윤', ' 010-6763-6676', ' sf3mnot8@nano.com', ' male', 63);
insert into owner values (132, '신', '도후', ' 010-6013-3601', ' z0cftze8@nano.com', ' female', 13);
insert into owner values (133, '신', '민아', ' 010-4304-7430', ' 5fyc6b87@nano.com', ' female', 4);
insert into owner values (134, '신', '민연', ' 010-5148-7514', ' atltvkbf@nano.com', ' female', 48);
insert into owner values (135, '신', '민원', ' 010-5453-2545', ' 8vavfli2@nano.com', ' female', 53);
insert into owner values (136, '신', '민원', ' 010-9141-9914', ' eidiheap@nano.com', ' female', 41);
insert into owner values (137, '신', '민은', ' 010-9461-5946', ' 42e7z1bh@nano.com', ' male', 61);
insert into owner values (138, '신', '민진', ' 010-3951-4395', ' hstu1oz9@nano.com', ' female', 51);
insert into owner values (139, '신', '민진', ' 010-6447-8644', ' m44kxb4t@nano.com', ' male', 47);
insert into owner values (140, '신', '서서', ' 010-8292-2829', ' 63g4p3ic@nano.com', ' male', 92);
insert into owner values (141, '신', '서아', ' 010-6788-7678', ' osgariad@nano.com', ' female', 88);
insert into owner values (142, '신', '서준', ' 010-9988-5998', ' zia9f1yr@nano.com', ' male', 88);
insert into owner values (143, '신', '서준', ' 010-1823-9182', ' 3e1zdv4l@nano.com', ' male', 23);
insert into owner values (144, '신', '예서', ' 010-2144-6214', ' x1nr7yql@nano.com', ' male', 44);
insert into owner values (145, '신', '예은', ' 010-8682-4868', ' rq8olevt@nano.com', ' female', 82);
insert into owner values (146, '신', '윤우', ' 010-2604-4260', ' 37fcrzvw@nano.com', ' male', 4);
insert into owner values (147, '신', '윤준', ' 010-1003-8100', ' dqyx967b@nano.com', ' female', 3);
insert into owner values (148, '신', '윤진', ' 010-0157-0015', ' zvkpe4vz@nano.com', ' male', 57);
insert into owner values (149, '신', '윤진', ' 010-6689-5668', ' y0s4qzrq@nano.com', ' female', 89);
insert into owner values (150, '신', '주서', ' 010-2416-9241', ' 6x71fblb@nano.com', ' male', 16);
insert into owner values (151, '신', '주준', ' 010-1437-3143', ' 4xzst3zy@nano.com', ' female', 37);
insert into owner values (152, '신', '지우', ' 010-2384-4238', ' gy7h1nnn@nano.com', ' male', 84);
insert into owner values (153, '신', '지우', ' 010-7547-7754', ' f6d0ebat@nano.com', ' male', 47);
insert into owner values (154, '신', '지우', ' 010-3898-1389', ' 2ycur33c@nano.com', ' male', 98);
insert into owner values (155, '신', '지은', ' 010-2144-6214', ' sbp4ub8f@nano.com', ' female', 44);
insert into owner values (156, '신', '지진', ' 010-2503-1250', ' vbkdug95@nano.com', ' female', 3);
insert into owner values (157, '신', '지호', ' 010-2653-8265', ' l6el5luw@nano.com', ' male', 53);
insert into owner values (158, '신', '채윤', ' 010-1219-0121', ' 0cq2u5vv@nano.com', ' male', 19);
insert into owner values (159, '신', '채진', ' 010-8018-9801', ' mna9qmkp@nano.com', ' female', 18);
insert into owner values (160, '신', '채호', ' 010-5322-0532', ' 26vsorv3@nano.com', ' male', 22);
insert into owner values (161, '신', '채후', ' 010-2076-8207', ' l6hsnbqo@nano.com', ' female', 76);
insert into owner values (162, '신', '하원', ' 010-9126-7912', ' xua89x3z@nano.com', ' male', 26);
insert into owner values (163, '신', '하준', ' 010-6623-6662', ' dwdesp7q@nano.com', ' female', 23);
insert into owner values (164, '신', '하진', ' 010-2775-2277', ' 4koy2okb@nano.com', ' female', 75);
insert into owner values (165, '신', '현서', ' 010-2595-9259', ' 8ozfp7dz@nano.com', ' male', 95);
insert into owner values (166, '신', '현연', ' 010-0736-8073', ' 65g86iqq@nano.com', ' male', 36);
insert into owner values (167, '신', '현준', ' 010-0993-5099', ' 4nzket4p@nano.com', ' female', 93);
insert into owner values (168, '신', '현진', ' 010-3668-0366', ' t0c266wh@nano.com', ' female', 68);
insert into owner values (169, '안', '도연', ' 010-3272-3327', ' q0alfyiy@nano.com', ' female', 72);
insert into owner values (170, '안', '도호', ' 010-6023-2602', ' mf9ozst3@nano.com', ' male', 23);
insert into owner values (171, '안', '민연', ' 010-1596-9159', ' xfhmle5y@nano.com', ' female', 96);
insert into owner values (172, '안', '민원', ' 010-1486-0148', ' gzozhz88@nano.com', ' female', 86);
insert into owner values (173, '안', '민원', ' 010-1119-8111', ' cv5az9di@nano.com', ' male', 19);
insert into owner values (174, '안', '민준', ' 010-0906-6090', ' 7xc6c2ca@nano.com', ' male', 6);
insert into owner values (175, '안', '민준', ' 010-7785-0778', ' puw2zp2m@nano.com', ' male', 85);
insert into owner values (176, '안', '민후', ' 010-4335-5433', ' hdatl411@nano.com', ' male', 35);
insert into owner values (177, '안', '민후', ' 010-3791-0379', ' gw8rkd7l@nano.com', ' female', 91);
insert into owner values (178, '안', '서서', ' 010-3084-0308', ' 2lsensv5@nano.com', ' female', 84);
insert into owner values (179, '안', '서진', ' 010-2099-8209', ' bq4c3cwu@nano.com', ' male', 99);
insert into owner values (180, '안', '서후', ' 010-4527-8452', ' 1zplb1w5@nano.com', ' male', 27);
insert into owner values (181, '안', '예우', ' 010-5484-4548', ' vluzvv58@nano.com', ' male', 84);
insert into owner values (182, '안', '예우', ' 010-4683-4468', ' xcbqwn21@nano.com', ' female', 83);
insert into owner values (183, '안', '예윤', ' 010-3743-3374', ' wyfun5cn@nano.com', ' male', 43);
insert into owner values (184, '안', '예진', ' 010-0281-1028', ' rrqmuxlt@nano.com', ' male', 81);
insert into owner values (185, '안', '윤아', ' 010-0763-7076', ' 3hg4t1fo@nano.com', ' female', 63);
insert into owner values (186, '안', '윤연', ' 010-1486-6148', ' 5dhvykd8@nano.com', ' male', 86);
insert into owner values (187, '안', '윤원', ' 010-2878-0287', ' zvnbrbph@nano.com', ' male', 78);
insert into owner values (188, '안', '윤윤', ' 010-4742-5474', ' c5066s6r@nano.com', ' female', 42);
insert into owner values (189, '안', '주연', ' 010-1093-9109', ' 5ffrakrx@nano.com', ' female', 93);
insert into owner values (190, '안', '주연', ' 010-9909-5990', ' ubkr10w9@nano.com', ' female', 9);
insert into owner values (191, '안', '주윤', ' 010-9045-0904', ' brvor968@nano.com', ' male', 45);
insert into owner values (192, '안', '주진', ' 010-0817-5081', ' rbml9z9n@nano.com', ' male', 17);
insert into owner values (193, '안', '지연', ' 010-1576-7157', ' eicope9r@nano.com', ' male', 76);
insert into owner values (194, '안', '지진', ' 010-0687-0068', ' 969tz0d2@nano.com', ' male', 87);
insert into owner values (195, '안', '지호', ' 010-7675-2767', ' zmisuwqv@nano.com', ' female', 75);
insert into owner values (196, '안', '지후', ' 010-0363-2036', ' oz4uppas@nano.com', ' male', 63);
insert into owner values (197, '안', '지후', ' 010-4128-1412', ' ze99dekb@nano.com', ' male', 28);
insert into owner values (198, '안', '채아', ' 010-9988-5998', ' i6pqkb84@nano.com', ' female', 88);
insert into owner values (199, '안', '채윤', ' 010-8072-7807', ' 75ggt1do@nano.com', ' male', 72);
insert into owner values (200, '안', '채호', ' 010-8442-6844', ' d2i7ac67@nano.com', ' male', 42);
insert into owner values (201, '안', '채후', ' 010-4104-6410', ' veeqggm6@nano.com', ' male', 4);
insert into owner values (202, '안', '하윤', ' 010-3093-7309', ' ynfksfmd@nano.com', ' female', 93);
insert into owner values (203, '안', '하진', ' 010-8097-7809', ' nobwarmi@nano.com', ' male', 97);
insert into owner values (204, '안', '현원', ' 010-9858-0985', ' z7tkzdo7@nano.com', ' female', 58);
insert into owner values (205, '안', '현진', ' 010-3892-0389', ' 6v3394zi@nano.com', ' male', 92);
insert into owner values (206, '오', '도서', ' 010-4271-2427', ' f6vawgef@nano.com', ' male', 71);
insert into owner values (207, '오', '도진', ' 010-3378-9337', ' km28vbqw@nano.com', ' male', 78);
insert into owner values (208, '오', '서연', ' 010-1914-4191', ' bwrk9f2w@nano.com', ' female', 14);
insert into owner values (209, '오', '서원', ' 010-2455-9245', ' znkv2n6p@nano.com', ' female', 55);
insert into owner values (210, '오', '서윤', ' 010-0951-0095', ' wm62sye1@nano.com', ' male', 51);
insert into owner values (211, '오', '서호', ' 010-1836-4183', ' hg9a57y1@nano.com', ' female', 36);
insert into owner values (212, '오', '서후', ' 010-0022-5002', ' b7x2kr04@nano.com', ' male', 22);
insert into owner values (213, '오', '서후', ' 010-2542-8254', ' lr996flx@nano.com', ' male', 42);
insert into owner values (214, '오', '예아', ' 010-7023-1702', ' p3wm0d2k@nano.com', ' male', 23);
insert into owner values (215, '오', '예윤', ' 010-7166-0716', ' o9vbup5z@nano.com', ' female', 66);
insert into owner values (216, '오', '예은', ' 010-0633-2063', ' mvdyp8h3@nano.com', ' male', 33);
insert into owner values (217, '오', '예준', ' 010-5234-1523', ' 3h0qcqeb@nano.com', ' male', 34);
insert into owner values (218, '오', '예진', ' 010-0247-8024', ' bva0k9z4@nano.com', ' male', 47);
insert into owner values (219, '오', '예호', ' 010-2287-0228', ' v4dzszt9@nano.com', ' male', 87);
insert into owner values (220, '오', '윤우', ' 010-3194-6319', ' o087bn0l@nano.com', ' male', 94);
insert into owner values (221, '오', '윤원', ' 010-1993-1199', ' fnda84wl@nano.com', ' male', 93);
insert into owner values (222, '오', '윤준', ' 010-1486-6148', ' v3zqfcto@nano.com', ' female', 86);
insert into owner values (223, '오', '주우', ' 010-3743-3374', ' owra0ehs@nano.com', ' female', 43);
insert into owner values (224, '오', '주윤', ' 010-9564-1956', ' 0gn18x8y@nano.com', ' male', 64);
insert into owner values (225, '오', '주윤', ' 010-3715-7371', ' q61hmzas@nano.com', ' male', 15);
insert into owner values (226, '오', '주은', ' 010-2268-4226', ' p8kyrse6@nano.com', ' female', 68);
insert into owner values (227, '오', '주준', ' 010-0336-3033', ' lokzukt8@nano.com', ' male', 36);
insert into owner values (228, '오', '주준', ' 010-8768-1876', ' 4o2nxf3g@nano.com', ' male', 68);
insert into owner values (229, '오', '지서', ' 010-2653-8265', ' 4sbt9ll0@nano.com', ' female', 53);
insert into owner values (230, '오', '지서', ' 010-7103-8710', ' zo0s76rn@nano.com', ' male', 3);
insert into owner values (231, '오', '지서', ' 010-1003-8100', ' bv9xi0z2@nano.com', ' female', 3);
insert into owner values (232, '오', '지연', ' 010-6266-2626', ' o87i3olu@nano.com', ' female', 66);
insert into owner values (233, '오', '지원', ' 010-9045-0904', ' v4yuihsc@nano.com', ' female', 45);
insert into owner values (234, '오', '지윤', ' 010-3138-8313', ' id6dx3wz@nano.com', ' male', 38);
insert into owner values (235, '오', '지준', ' 010-0813-0081', ' fbmnpm8f@nano.com', ' female', 13);
insert into owner values (236, '오', '지진', ' 010-6266-2626', ' cvo5skf5@nano.com', ' male', 66);
insert into owner values (237, '오', '지진', ' 010-6534-2653', ' zgxi15g4@nano.com', ' female', 34);
insert into owner values (238, '오', '채우', ' 010-0162-3016', ' rah094l1@nano.com', ' male', 62);
insert into owner values (239, '오', '채진', ' 010-0906-6090', ' nhxn168z@nano.com', ' female', 6);
insert into owner values (240, '오', '하우', ' 010-2507-2250', ' bvxc2sgb@nano.com', ' male', 7);
insert into owner values (241, '오', '하원', ' 010-2723-3272', ' moqhy4k5@nano.com', ' male', 23);
insert into owner values (242, '오', '하후', ' 010-9964-6996', ' cxy71xd4@nano.com', ' female', 64);
insert into owner values (243, '오', '현윤', ' 010-2927-5292', ' 48zg1wzt@nano.com', ' female', 27);
insert into owner values (244, '오', '현진', ' 010-1512-5151', ' f7z2mzn0@nano.com', ' female', 12);
insert into owner values (245, '유', '도원', ' 010-0233-4023', ' 8dxcoqgu@nano.com', ' male', 33);
insert into owner values (246, '유', '도준', ' 010-5162-6516', ' yhlmg5hg@nano.com', ' female', 62);
insert into owner values (247, '유', '민아', ' 010-6162-6616', ' 2ab4cfd8@nano.com', ' female', 62);
insert into owner values (248, '유', '민진', ' 010-2723-3272', ' zdqw4m73@nano.com', ' female', 23);
insert into owner values (249, '유', '민후', ' 010-0861-8086', ' otpi7pgw@nano.com', ' male', 61);
insert into owner values (250, '유', '서호', ' 010-3898-6389', ' 9mz9r7nc@nano.com', ' male', 98);
insert into owner values (251, '유', '예우', ' 010-5698-9569', ' ikhdqfxv@nano.com', ' male', 98);
insert into owner values (252, '유', '예원', ' 010-1672-3167', ' 840e7xn2@nano.com', ' female', 72);
insert into owner values (253, '유', '예원', ' 010-0777-1077', ' zrzyuzu5@nano.com', ' male', 77);
insert into owner values (254, '유', '예후', ' 010-7702-1770', ' z15kzlhv@nano.com', ' male', 2);
insert into owner values (255, '유', '윤서', ' 010-2552-0255', ' 7zaee87u@nano.com', ' male', 52);
insert into owner values (256, '유', '윤원', ' 010-0052-4005', ' 5s83xdzb@nano.com', ' male', 52);
insert into owner values (257, '유', '윤원', ' 010-0777-9077', ' d6l6hhi9@nano.com', ' male', 77);
insert into owner values (258, '유', '윤윤', ' 010-9775-0977', ' 3hfhxfpt@nano.com', ' male', 75);
insert into owner values (259, '유', '윤준', ' 010-9382-5938', ' g9shk97e@nano.com', ' male', 82);
insert into owner values (260, '유', '윤후', ' 010-0943-7094', ' w9wq3a0m@nano.com', ' female', 43);
insert into owner values (261, '유', '주서', ' 010-4103-2410', ' z1rsi08n@nano.com', ' male', 3);
insert into owner values (262, '유', '주연', ' 010-1226-4122', ' vhh9urlw@nano.com', ' female', 87);
insert into owner values (263, '유', '주윤', ' 010-1039-1103', ' k57beb94@nano.com', ' male', 39);
insert into owner values (264, '유', '주윤', ' 010-9432-9943', ' qen8zffa@nano.com', ' female', 32);
insert into owner values (265, '유', '주준', ' 010-3032-2303', ' vrcrggaw@nano.com', ' female', 32);
insert into owner values (266, '유', '주진', ' 010-0844-4084', ' f4m3vksu@nano.com', ' male', 44);
insert into owner values (267, '유', '지서', ' 010-1672-3167', ' lbr0fp4v@nano.com', ' male', 72);
insert into owner values (268, '유', '지서', ' 010-3697-5369', ' n491yh2b@nano.com', ' male', 97);
insert into owner values (269, '유', '지서', ' 010-4742-2474', ' tg2iec8x@nano.com', ' female', 42);
insert into owner values (270, '유', '지연', ' 010-0711-9071', ' 16vkms3k@nano.com', ' female', 11);
insert into owner values (271, '유', '지윤', ' 010-9921-1992', ' kuibg17z@nano.com', ' male', 21);
insert into owner values (272, '유', '지은', ' 010-2463-6246', ' 3hrn8hzn@nano.com', ' female', 63);
insert into owner values (273, '유', '지은', ' 010-7564-6756', ' 8c0q7wpl@nano.com', ' female', 64);
insert into owner values (274, '유', '지은', ' 010-3407-8340', ' y2co70si@nano.com', ' male', 7);
insert into owner values (275, '유', '지준', ' 010-2684-5268', ' ckepf752@nano.com', ' female', 84);
insert into owner values (276, '유', '지진', ' 010-2117-8211', ' apxv1pcr@nano.com', ' female', 17);
insert into owner values (277, '유', '지후', ' 010-1014-5101', ' anfcecc8@nano.com', ' male', 14);
